"gene","trait","GS","pVal","moduleMembership","degree","module","hubGeneSignificance","moduleSignificance"
"DDX60.55601","ips_ctla4_pos_pd1_neg",0.326474862621067,9.74704411954569e-12,0.875638495837891,12.6367716620773,"plum2",0.0187390644526068,0.275712341729773
"HERC6.55008","ips_ctla4_pos_pd1_neg",0.269788975237256,2.45359209392397e-08,0.830294980059159,10.7902189986262,"plum2",0.0187390644526068,0.275712341729773
"IFI44L.10964","ips_ctla4_pos_pd1_neg",0.337250637710067,1.80406232574394e-12,0.923879232596717,14.9517451720997,"plum2",0.0187390644526068,0.275712341729773
"IFI44.10561","ips_ctla4_pos_pd1_neg",0.330711750549826,5.06103936613641e-12,0.885842461383613,13.0549914202477,"plum2",0.0187390644526068,0.275712341729773
"IFI6.2537","ips_ctla4_pos_pd1_neg",0.288596804297856,2.20312372513877e-09,0.864787358227082,12.4559190280394,"plum2",0.0187390644526068,0.275712341729773
"IFIH1.64135","ips_ctla4_pos_pd1_neg",0.353059836725442,1.34465409608723e-13,0.847780569792855,11.27339720646,"plum2",0.0187390644526068,0.275712341729773
"IFIT1.3434","ips_ctla4_pos_pd1_neg",0.245871455219768,4.0714502822106e-07,0.884514661449496,13.4565667800216,"plum2",0.0187390644526068,0.275712341729773
"IFIT2.3433","ips_ctla4_pos_pd1_neg",0.241727411094103,6.43904578989601e-07,0.852842761716618,11.8305292455984,"plum2",0.0187390644526068,0.275712341729773
"IFIT3.3437","ips_ctla4_pos_pd1_neg",0.360639851777027,3.6735152254937e-14,0.928149633857826,15.2259660710724,"plum2",0.0187390644526068,0.275712341729773
"ISG15.9636","ips_ctla4_pos_pd1_neg",0.330765181757562,5.0190558116849e-12,0.852841973628152,11.8001522490668,"plum2",0.0187390644526068,0.275712341729773
"MX1.4599","ips_ctla4_pos_pd1_neg",0.324919388553386,1.23670444256913e-11,0.853311731362339,11.6719923709223,"plum2",0.0187390644526068,0.275712341729773
"OAS1.4938","ips_ctla4_pos_pd1_neg",0.282432736529343,4.95198293353685e-09,0.820308473525552,10.4255872266665,"plum2",0.0187390644526068,0.275712341729773
"OAS2.4939","ips_ctla4_pos_pd1_neg",0.34962580932744,2.39324166798226e-13,0.908959450817261,14.112199270406,"plum2",0.0187390644526068,0.275712341729773
"OAS3.4940","ips_ctla4_pos_pd1_neg",0.274796843300726,1.31443980071176e-08,0.813707942258578,9.97451314715901,"plum2",0.0187390644526068,0.275712341729773
