"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:CC","cell periphery","GO:0071944","0.0002362925999941082","3.6265498790110824","5662","46","30","18797","CD247,CD2,CD3D,CD3E,CXCR3,CXCR6,IL12RB1,NKG7,SIRPG,SLA2,CCR5,CD5,CD6,CD96,CORO1A,GPR174,ICOS,IL21R,IL2RB,ITGAL,ITGB7,LCK,P2RY10,PTPN22,PTPRCAP,RHOH,SIT1,SLAMF1,SLAMF6,TBC1D10C"
"GO:CC","membrane part","GO:0044425","0.0007797936404140784","3.108020311010479","7105","46","33","18797","CD247,CD2,CD3D,CD3E,CXCR3,CXCR6,IL12RB1,NKG7,SIRPG,SLA2,CCR5,CD5,CD6,CD96,CORO1A,GIMAP2,GIMAP5,GPR174,ICOS,IL21R,IL2RB,ITGAL,ITGB7,LCK,P2RY10,PTPN22,PTPRCAP,RHOH,SIT1,SLAMF1,SLAMF6,TBC1D10C,TRAF3IP3"
"GO:CC","receptor complex","GO:0043235","0.001365613908819514","2.8646720685681886","403","46","8","18797","CD247,CD3D,CD3E,IL12RB1,CD6,IL2RB,ITGAL,ITGB7"
"GO:CC","integral component of membrane","GO:0016021","0.014220567390514617","1.847083075219921","5674","46","27","18797","CD247,CD2,CD3D,CD3E,CXCR3,CXCR6,IL12RB1,NKG7,SIRPG,CCR5,CD5,CD6,CD96,GIMAP2,GIMAP5,GPR174,ICOS,IL21R,IL2RB,ITGAL,ITGB7,P2RY10,PTPRCAP,SIT1,SLAMF1,SLAMF6,TRAF3IP3"
"GO:CC","plasma membrane protein complex","GO:0098797","0.01952555925131374","1.709396518204504","584","46","8","18797","CD247,CD3D,CD3E,IL12RB1,CD6,IL2RB,ITGAL,ITGB7"
"GO:CC","intrinsic component of membrane","GO:0031224","0.023806896759878987","1.6232972113945627","5828","46","27","18797","CD247,CD2,CD3D,CD3E,CXCR3,CXCR6,IL12RB1,NKG7,SIRPG,CCR5,CD5,CD6,CD96,GIMAP2,GIMAP5,GPR174,ICOS,IL21R,IL2RB,ITGAL,ITGB7,P2RY10,PTPRCAP,SIT1,SLAMF1,SLAMF6,TRAF3IP3"
"GO:CC","membrane","GO:0016020","0.04454589192534898","1.3511923409293782","9693","46","36","18797","APOL3,CD247,CD2,CD3D,CD3E,CXCR3,CXCR6,IL12RB1,NKG7,SIRPG,SLA2,ACAP1,CCR5,CD5,CD6,CD96,CORO1A,GIMAP2,GIMAP5,GPR174,ICOS,IL21R,IL2RB,ITGAL,ITGB7,LCK,P2RY10,PTPN22,PTPRCAP,RHOH,SIT1,SLAMF1,SLAMF6,TBC1D10C,TRAF3IP3,RPS4Y1"
"KEGG","Th17 cell differentiation","KEGG:04659","0.0000032386863068263248","5.489631114914142","104","27","7","7590","CD247,CD3D,CD3E,IL12RB1,IL21R,IL2RB,LCK"
"KEGG","Th1 and Th2 cell differentiation","KEGG:04658","0.00003287789887353701","4.483095944683868","89","27","6","7590","CD247,CD3D,CD3E,IL12RB1,IL2RB,LCK"
"KEGG","T cell receptor signaling pathway","KEGG:04660","0.0000656941671312505","4.182473188966348","100","27","6","7590","CD247,CD3D,CD3E,ITK,ICOS,LCK"
